,product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,count
638,aca2eb7d00ea1a7b8ebd4e68314663af,decoration,44.0,903.0,6.0,2600.0,527
476,99a4788cb24856965c36a24e339b6058,bed,54.0,245.0,1.0,1383.0,488
664,422879e10f46682990de24d770e7f83d,garden,56.0,348.0,2.0,1550.0,484
1502,389d119b48cf3043d311335e499d9c6b,garden,59.0,341.0,2.0,1750.0,392
242,368c6c730842d78016ad823897a372db,garden,57.0,366.0,2.0,1650.0,388
1589,53759a2ecddad2bb87a079a1f1519f73,garden,58.0,340.0,2.0,1500.0,373
407,d1c427060a0f73f6b889a5c7c61f2ac4,computer,59.0,1893.0,1.0,6550.0,343
32,53b36df67ebb7c41585e8d54d6772e08,gifts,33.0,523.0,3.0,584.0,323
85,154e7e31ebfa092203795c972e5804a6,beauty,48.0,575.0,1.0,100.0,281
1443,3dd2a17168ec895c781a9191c1e95ad7,computer,48.0,894.0,1.0,533.0,274
302,2b4609f8948be18874494203496bc318,beauty,59.0,492.0,3.0,250.0,260
165,7c1bd920dbdf22470b68bde975dd3ccf,beauty,59.0,492.0,2.0,200.0,231
1460,a62e25e09e05e6faf31d90c6ec1aa3d1,gifts,58.0,3006.0,2.0,1000.0,226
782,bb50f2e236e5eea0100680137654686c,beauty,60.0,2644.0,6.0,400.0,195
547,e0d64dcfaa3b6db5c54ca298ae101d05,gifts,35.0,514.0,2.0,4338.0,194
1591,42a2c92a0979a949ca4ea89ec5c7b934,housewares,41.0,799.0,1.0,7000.0,183
1019,e53e557d5a159f5aa2c5e995dfdf244b,computer,33.0,256.0,1.0,180.0,183
724,b532349fe46b38fbc7bb3914c1bdae07,decoration,49.0,829.0,1.0,850.0,169
1582,35afc973633aaeb6b877ff57b2793310,home,56.0,176.0,1.0,1825.0,165
986,a92930c327948861c015c919a0bcb4a8,gifts,59.0,319.0,4.0,250.0,160
914,6cdd53843498f92890544667809f1595,beauty,51.0,625.0,1.0,900.0,156
91,19c91ef95d509ea33eda93495c4d3481,beauty,50.0,1257.0,1.0,700.0,156
1371,437c05a395e9e47f9762e677a7068ce7,beauty,40.0,409.0,1.0,1110.0,155
1450,f1c7f353075ce59d8a6f3cf58f419c9c,bed,56.0,162.0,5.0,9750.0,154
663,3fbc0ef745950c7932d5f2a446189725,beauty,50.0,1257.0,1.0,350.0,150
1555,c4baedd846ed09b85f78a781b522f126,garden,58.0,1893.0,1.0,5950.0,149
938,461f43be3bdf8844e65b62d9ac2c7a5a,gifts,35.0,591.0,3.0,444.0,146
582,06edb72f1e0c64b14c5b79353f7abea3,bed,39.0,161.0,2.0,350.0,143
692,7a10781637204d8d10485c71a6108a2e,gifts,42.0,236.0,1.0,342.0,143
622,0aabfb375647d9738ad0f7b4ea3653b1,game,49.0,100.0,4.0,150.0,142
1518,8c591ab0ca519558779df02023177f44,garden,47.0,1893.0,1.0,6050.0,141
153,656e0eca68dcecf6a31b8ececfabe3e8,computer,45.0,236.0,1.0,173.0,141
1367,d017a2151d543a9885604dc62a3d9dcc,fashion,59.0,93.0,7.0,250.0,140
157,2028bf1b01cafb2d2b1901fca4083222,perfumery,54.0,1536.0,2.0,250.0,138
455,e0cf79767c5b016251fe139915c59a26,beauty,55.0,388.0,1.0,250.0,137
189,ec2d43cc59763ec91694573b31f1c29a,bed,38.0,735.0,5.0,800.0,131
1040,b0961721fd839e9982420e807758a2a6,garden,59.0,341.0,2.0,1850.0,127
351,36f60d45225e60c7da4558b070ce4b60,computer,33.0,300.0,1.0,207.0,127
1171,d285360f29ac7fd97640bf0baef03de0,gifts,46.0,501.0,4.0,363.0,123
382,4c2394abfbac7ff59ec7a420918562fa,beauty,49.0,1495.0,3.0,600.0,123
322,c6dd917a0be2a704582055949915ab32,cool,54.0,1012.0,1.0,1200.0,120
1263,89321f94e35fc6d7903d36f74e351d40,foods,59.0,982.0,1.0,150.0,119
74,601a360bd2a916ecef0e88de72a6531a,cool,33.0,897.0,1.0,1600.0,119
1199,52c80cedd4e90108bf4fa6a206ef6b03,garden,33.0,2188.0,2.0,7650.0,118
1233,6f3b5b605d91b7439c5e3f5a8dffeea7,gifts,35.0,640.0,1.0,335.0,117
376,0bcc3eeca39e1064258aa1e932269894,garden,57.0,339.0,2.0,1800.0,115
1104,54d9ac713e253fa1fae9c8003b011c2a,cool,57.0,787.0,8.0,1867.0,114
531,08574b074924071f4e201e151b152b4e,garden,36.0,450.0,1.0,9000.0,113
1036,84f456958365164420cfc80fbe4c7fab,bed,55.0,312.0,1.0,1550.0,111
657,165f86fe8b799a708a20ee4ba125c289,cool,40.0,1456.0,1.0,2425.0,109
537,4fe644d766c7566dbc46fb851363cb3b,Art,48.0,1232.0,1.0,1700.0,107
1052,7ce94ab189134e2d3c05f496d635419c,electronics,39.0,400.0,1.0,200.0,106
985,595fac2a385ac33a80bd5114aec74eb8,perfumery,29.0,178.0,1.0,400.0,106
1325,0a57f7d2c983bcf8188589a5fea4a8da,gifts,33.0,932.0,1.0,396.0,104
529,d5991653e037ccb7af6ed7d94246b249,computer,42.0,363.0,1.0,922.0,103
121,78efe838c04bbc568be034082200ac20,decoration,57.0,272.0,1.0,2500.0,101
1181,880be32f4db1d9f6e2bec38fb6ac23ab,toys,45.0,589.0,4.0,200.0,99
954,6c3effec7c8ddba466d4f03f982c7aa3,game,56.0,237.0,3.0,100.0,97
926,29427de7f8a9ee983d9dbc51cec569b4,cool,54.0,995.0,1.0,4475.0,97
897,9ecadb84c81da840dbf3564378b586e9,decoration,41.0,789.0,1.0,950.0,97
686,617186c3d97ea56c9c683a8a3974e8c1,perfumery,59.0,1071.0,1.0,550.0,95
1177,eb8c629f70275fd1c4f809116cce1efc,decoration,51.0,831.0,1.0,1400.0,95
13,c6336fa91fbd87c359e44f5dca5a90ed,sport,39.0,772.0,1.0,150.0,94
751,777d2e438a1b645f3aec9bd57e92672c,bed,58.0,689.0,1.0,950.0,94
752,e7cc48a9daff5436f63d3aad9426f28b,telephony,58.0,1500.0,4.0,700.0,93
1164,75d6b6963340c6063f7f4cfcccfe6a30,perfumery,51.0,999.0,2.0,400.0,93
1026,cd48f265a63e13b762601f5f794c5fca,drinks,48.0,859.0,3.0,175.0,93
368,43423cdffde7fda63d0414ed38c11a73,gifts,41.0,1159.0,4.0,350.0,93
1464,8c292ca193d326152e335d77176746f0,beauty,60.0,2894.0,1.0,200.0,92
1276,3f14d740544f37ece8a9e7bc8349797e,computer,44.0,655.0,1.0,321.0,91
403,b5e13c9a353102f79c6206ff5cb61a50,toys,59.0,249.0,2.0,1500.0,91
1245,ee406bf28024d97771c4b1e8b7e8e219,cool,54.0,629.0,1.0,1050.0,90
1411,cac9e5692471a0700418aa3400b9b2b1,babies,57.0,2440.0,1.0,375.0,89
949,ee0c1cf2fbeae95205b4aa506f1469f0,perfumery,44.0,334.0,1.0,200.0,89
240,4fcb3d9a5f4871e8362dfedbdb02b064,automotive,53.0,603.0,1.0,5950.0,89
838,2136c70bbe723d338fab53da3c03e6dc,gifts,55.0,167.0,3.0,200.0,89
983,dbb67791e405873b259e4656bf971246,computer,32.0,321.0,1.0,207.0,88
516,473795a355d29305c3ea6b156833adf5,perfumery,36.0,605.0,2.0,100.0,88
211,4298b7e67dc399c200662b569563a2b2,computer,58.0,420.0,1.0,200.0,88
928,7fb04722aba7a2b632bac8f9819796f3,beauty,48.0,594.0,1.0,1850.0,87
599,363218ba55c610b750224f90bdd34be1,bed,46.0,279.0,1.0,1813.0,86
984,e44f675b60b3a3a2453ec36421e06f0f,sport,35.0,1058.0,1.0,350.0,84
720,d04857e7b4b708ee8b8b9921163edba3,computer,33.0,1127.0,2.0,450.0,84
1592,fb55982be901439613a95940feefd9ee,stationery,52.0,211.0,2.0,7000.0,84
1470,a50acd33ba7a8da8e9db65094fa990a4,automotive,53.0,555.0,1.0,4105.0,84
771,bee2e070c39f3dd2f6883a17a5f0da45,computer,53.0,871.0,4.0,175.0,80
1016,c9c6fde711572c1ad99ca12728c6af00,telephony,51.0,678.0,2.0,150.0,79
750,5411e9269501a870cabf632f05655131,stationery,57.0,396.0,3.0,6550.0,77
933,64fb265487de2238627ce43fe8a67efc,bed,55.0,329.0,1.0,1825.0,75
207,18b0e642cbae7251e60a64aa07dd9eb9,computer,24.0,718.0,2.0,200.0,74
1247,629e019a6f298a83aeecc7877964f935,automotive,57.0,1166.0,5.0,1750.0,74
596,5a6e53c3b4e8684b13388d6aa4afdf12,housewares,45.0,176.0,2.0,200.0,73
1549,362b773250263786dd58670d2df42c3b,sport,51.0,2526.0,1.0,200.0,73
257,634256dbcd184b3757ffd7632c9fe52a,beauty,49.0,295.0,1.0,150.0,72
280,d3c044bd42d84a79e3b0c42662806a48,sport,32.0,3831.0,1.0,150.0,72
1071,3354a4e684f5e7199f9407db70ccd92b,cool,52.0,847.0,3.0,1200.0,72
972,7e0dc102074f8285580c9777f79c90cf,garden,60.0,1251.0,2.0,800.0,72
1381,0d85c435fd60b277ffb9e9b0f88f927a,computer,60.0,919.0,1.0,150.0,72
311,cec09725da5ed01471d9a505e7389d37,sport,52.0,1197.0,1.0,2500.0,71
149,93c902b021a9e594f658ab1b0351602a,electronics,60.0,390.0,7.0,1250.0,71
1303,2948658cb6abc82847412be7201bfc4c,beauty,59.0,1030.0,5.0,3500.0,71
348,8ed094bfe076c568f6bb10feada3f75d,office,43.0,1128.0,1.0,16133.0,70
646,2a2d22ae30e026f1893083c8405ca522,bed,60.0,744.0,2.0,8350.0,70
279,ab1f9387c0627dd24000bfbc54fdeee0,electronics,45.0,456.0,1.0,175.0,69
136,97017430754804328eb9597b7f85da03,telephony,60.0,818.0,5.0,300.0,69
1194,bd6e6fce9ada76ea2db0f1912e8e478f,bed,49.0,381.0,1.0,850.0,69
1161,dab2413ead0edda9967edbc9bda2a64e,telephony,57.0,680.0,2.0,250.0,68
203,1613b819ab5dae53aead2dbb4ebdb378,automotive,60.0,982.0,2.0,50.0,68
1271,89b121bee266dcd25688a1ba72eefb61,computer,54.0,1169.0,1.0,150.0,68
647,b623b7cb05ee3248fbe4a6ecbeed79a4,toys,41.0,673.0,1.0,3008.0,66
384,11875b30b49585209e608f40e8082e65,sport,26.0,1465.0,1.0,1032.0,66
1472,24c66f106f642621e524291a895c9032,beauty,37.0,325.0,1.0,792.0,65
6,bbaef2eadf31fe3ea6702077398be06c,perfumery,45.0,1003.0,2.0,400.0,65
1004,f71973c922ccaab05514a36a8bc741b8,bags,47.0,482.0,2.0,16100.0,65
1407,0152f69b6cf919bcdaf117aa8c43e5a2,bed,40.0,116.0,1.0,250.0,64
890,5d66715cc928aadd0074f61332698593,electronics,52.0,390.0,1.0,150.0,64
42,ea44caac707f7f1325182a538007f838,babies,59.0,809.0,5.0,6600.0,63
223,41c24b8ce92d1a2cac62db5edfd088b2,gifts,27.0,178.0,1.0,314.0,63
0,5f504b3a1c75b73d6151be81eb05bdc9,cool,38.0,1176.0,3.0,15350.0,63
228,f7a17d2c51d9df89a4f1711c4ac17f33,housewares,56.0,1245.0,5.0,350.0,63
701,44a34214a57dc373dcd80f54c919d006,sport,21.0,207.0,2.0,350.0,63
1473,6a8631b72a2f8729b91514db87e771c0,electronics,54.0,614.0,1.0,100.0,62
1459,e59dd207c69d86e890febadc796d1078,cool,54.0,850.0,1.0,125.0,62
1266,25f86162fee18735fffdb762dcb10d7c,bed,58.0,2400.0,2.0,10800.0,62
471,7814c273ab16783d73a9863ebfa8b141,decoration,51.0,756.0,1.0,12250.0,62
982,fbce4c4cb307679d89a3bf3d3bb353b9,bed,53.0,597.0,1.0,6550.0,60
355,a19b6951c75da43aad691622dd2f6abe,decoration,44.0,789.0,1.0,650.0,60
609,928e52a9ad53a294fdcc91bcf59d1751,housewares,34.0,1031.0,6.0,1600.0,60
1360,06c6e01186af8b98ee1fc9e01f9471e9,computer,53.0,144.0,2.0,200.0,60
227,3eef0cb94ba82de806bb30ab743c7655,office,26.0,1177.0,1.0,11880.0,59
539,781afe929e3016a667f5f439afd55fce,sport,42.0,590.0,1.0,400.0,59
948,19421075ae0b585f2dc13ff149e2119d,sport,32.0,1797.0,1.0,150.0,59
333,8c5876b1c7768217964f353bc7e64393,telephony,61.0,440.0,1.0,250.0,59
1597,a9516a079e37a9c9c36b9b78b10169e8,office,41.0,1141.0,1.0,8683.0,59
548,e9a69340883a438c3f91739d14d3a56d,housewares,60.0,1912.0,5.0,3000.0,58
1148,fbc1488c1a1e72ba175f53ab29a248e8,perfumery,27.0,311.0,1.0,560.0,58
996,2fea0f2cec6b6324a277d4a61c2ed2c6,beauty,57.0,2026.0,3.0,100.0,58
1089,c3ba4e8d3cb30049213b682e751e9d00,gifts,58.0,737.0,3.0,350.0,58
1602,f35927953ed82e19d06ad3aac2f06353,general,39.0,724.0,1.0,450.0,58
68,d696750e550fd0f733979dd7e5dff921,housewares,44.0,916.0,2.0,950.0,57
327,aba86c093ccdbac75b09111d57e50004,office,41.0,154.0,1.0,2600.0,57
731,fc1d8637c0268af3db482c14b7ef8e75,bed,60.0,269.0,1.0,1700.0,57
1032,764292b2b0f73f77a0272be03fdd45f3,decoration,56.0,701.0,5.0,750.0,57
567,f4f67ccaece962d013a4e1d7dc3a61f7,automotive,52.0,603.0,1.0,7625.0,56
737,a02d0123079f4ae96001ba2010d1a2df,construction,57.0,771.0,1.0,12000.0,56
1489,f71f42e2381752836563b70beb542f80,computer,34.0,1078.0,2.0,250.0,56
813,054515fd15bc1a2029f10de97ffa9120,sport,50.0,799.0,1.0,150.0,56
154,2a5806f10d0f00e5ad032dd2e3c8806e,office,46.0,1350.0,1.0,11875.0,55
863,ed2067a9c1f79553088a3c67b99a9f97,foods,52.0,919.0,1.0,750.0,55
1196,af51d485dc5255ba2e18b21b550156e6,bags,57.0,674.0,1.0,22350.0,55
447,30ac6df06dc59ad72cf2f158fc2d904c,housewares,53.0,1034.0,2.0,16550.0,55
26,386486367c1f9d4f587a8864ccb6902b,bed,54.0,120.0,1.0,835.0,55
432,f40876e0ef3cd5f9132b1f16b04b1346,beauty,42.0,250.0,1.0,427.0,55
689,d63c1011f49d98b976c352955b1c4bea,beauty,57.0,614.0,1.0,950.0,55
198,b114bf337c0626166abe574eee9e3f32,office,47.0,1398.0,1.0,13350.0,54
1573,73326828aa5efe1ba096223de496f596,foods,32.0,1392.0,1.0,330.0,54
1168,431d674f9a4fbd0957ecf6ba3fcb6899,telephony,56.0,1892.0,4.0,450.0,53
40,c857b96593773e940454e76efa8eabb3,decoration,55.0,133.0,1.0,700.0,53
460,4520766ec412348b8d4caa5e8a18c464,automotive,59.0,956.0,1.0,50.0,53
422,afeeea6271148ee1bb15173b8187c431,telephony,52.0,1885.0,1.0,450.0,53
1042,e03102efbc2229024c89be731f0aedcb,stationery,57.0,366.0,4.0,750.0,53
1165,9545d45c37449ccbc376de3a04c66e71,beauty,39.0,1749.0,1.0,1350.0,53
360,d2f5484cbffe4ca766301b21ab9246dd,computer,51.0,448.0,1.0,180.0,52
1522,c7fd13b5e515bffdab855d0812842edb,decoration,46.0,490.0,2.0,1350.0,52
1467,ddceb6eef6af67e9fbbd4c148dbe5fd9,cool,52.0,516.0,1.0,4650.0,52
375,2ffdf10e724b958c0f7ea69e97d32f64,gifts,59.0,582.0,1.0,263.0,52
660,4ae634441e444ca4bc85903cafe98d73,telephony,54.0,285.0,2.0,275.0,52
1125,22c5ddc22ea8cae84fc9917def682dc6,perfumery,24.0,435.0,3.0,350.0,52
532,4413a608a42bd21bbf9d5abbd58c249a,cool,57.0,1620.0,1.0,2350.0,51
111,88dd63919fc9ab693803578a04a20209,computer,58.0,395.0,1.0,217.0,50
518,a35a9f46dcee0a67c8c7ad8493eb4135,computer,33.0,1084.0,2.0,200.0,50
1416,703d742887bb9267f89b675608ba7aa0,bed,35.0,509.0,2.0,950.0,50
296,f264c1d9b20b5e4a340254d0405e613b,cool,48.0,874.0,1.0,1050.0,50
1087,130482add9fd75ccb6c57ba007694a2d,computer,55.0,60.0,1.0,2800.0,49
851,4b96786612ebe7463132fce2c4dca136,housewares,42.0,540.0,3.0,10750.0,49
1133,5b226d7c52f86ac72457617f78cff95d,bed,50.0,381.0,1.0,875.0,49
668,72172e982e8b92155069e4201c92c0bb,sport,60.0,3847.0,5.0,200.0,49
909,11fd9d7ba552e1d28872e008acf1e050,cool,31.0,1194.0,3.0,10225.0,49
416,c1f5307decb89342351bec53668cffd9,telephony,60.0,777.0,4.0,300.0,48
1558,7fab1a1472fdd934397068931f63f3ca,toys,53.0,200.0,10.0,600.0,48
562,8aa6223e400af9c97b07c75993142721,babies,54.0,830.0,4.0,5000.0,48
266,e251ebd2858be1aa7d9b2087a6992580,garden,34.0,511.0,4.0,8875.0,48
218,bb42f37fc3d9130e4a4339d24a47dd7c,bed,59.0,81.0,1.0,400.0,48
669,db5efde3ad0cc579b130d71c4b2db522,audio,40.0,232.0,1.0,6663.0,48
708,f1fe595ee7ef768b41bd9b246d13432d,garden,52.0,1292.0,7.0,1900.0,48
801,569ffd16f8032478cbeb9800f2e94ba0,decoration,49.0,544.0,1.0,410.0,47
251,4aa6014eceb682077f9dc4bffebc05b0,housewares,43.0,1002.0,3.0,10150.0,47
285,aa280035c50ba62c746480a59045eec4,toys,56.0,678.0,3.0,200.0,47
1538,bdc3291ab242ec1effc8eb0987850268,electronics,53.0,830.0,1.0,541.0,46
1081,8562e2c780a345b609e1b802d7e3e4ae,bed,51.0,1208.0,1.0,1100.0,46
58,962a6951154f98f2c8e9a5b8b2bcf4a9,decoration,47.0,610.0,1.0,2550.0,46
508,fe01b643060a6446e59f58e3021e66b3,perfumery,40.0,659.0,2.0,1250.0,46
1302,cc971e0365873137b8bef2ebad633e6f,cool,54.0,1001.0,1.0,2400.0,46
1352,1bfb290d7273a442c874dbe74b4abae6,office,19.0,883.0,1.0,10075.0,46
